RE-1_R2_CH01_A  637566980 0 0
RE-1_R2_CH01_B  637599748 0 0
RE-1_R2_CH01_C  637632516 0 0
RE+1_R2_CH01_A  637566982 -0.651216 6.57996
RE+1_R2_CH01_B  637599750 0.937794 4.91368
RE+1_R2_CH01_C  637632518 -0.0305984 4.84716
RE-1_R3_CH01_A  637566984 0 0
RE-1_R3_CH01_B  637599752 0 0
RE-1_R3_CH01_C  637632520 0 0
RE+1_R3_CH01_A  637566986 -0.381408 3.26725
RE+1_R3_CH01_B  637599754 -0.0376056 3.72584
RE+1_R3_CH01_C  637632522 -0.306042 3.46441
W-2_RB1in_S01_Backward  637566989 0.170768 1.159
W-2_RB1in_S01_Forward  637632525 0.0458677 1.41051
W-1_RB1in_S01_Backward  637566993 0.111302 1.04557
W-1_RB1in_S01_Forward  637632529 0.242941 1.30238
W+0_RB1in_S01_Backward  637566997 0.0336299 1.14814
W+0_RB1in_S01_Forward  637632533 0.0271414 1.3489
W+1_RB1in_S01_Backward  637567001 0.019057 1.03714
W+1_RB1in_S01_Forward  637632537 0.0186887 1.13084
W+2_RB1in_S01_Backward  637567005 -0.0966911 1.28551
W+2_RB1in_S01_Forward  637632541 -0.119633 1.28666
RE-1_R2_CH07_A  637567108 0 0
RE-1_R2_CH07_B  637599876 0 0
RE-1_R2_CH07_C  637632644 0 0
RE+1_R2_CH07_A  637567110 -0.360321 6.12302
RE+1_R2_CH07_B  637599878 -0.32806 5.54425
RE+1_R2_CH07_C  637632646 0.392526 4.74492
RE-1_R3_CH07_A  637567112 0 0
RE-1_R3_CH07_B  637599880 0 0
RE-1_R3_CH07_C  637632648 0 0
RE+1_R3_CH07_A  637567114 0.170803 2.11127
RE+1_R3_CH07_B  637599882 0.377572 2.57715
RE+1_R3_CH07_C  637632650 0.65369 2.36412
W-2_RB1in_S02_Backward  637567117 -0.0472 1.2486
W-2_RB1in_S02_Forward  637632653 0.0678919 1.22016
W-1_RB1in_S02_Backward  637567121 0.0168432 1.17812
W-1_RB1in_S02_Forward  637632657 -0.0471032 1.37569
W+0_RB1in_S02_Backward  637567125 0.0833821 1.07753
W+0_RB1in_S02_Forward  637632661 -0.203556 1.2606
W+1_RB1in_S02_Backward  637567129 -0.0864788 1.13842
W+1_RB1in_S02_Forward  637632665 -0.00976 1.3389
W+2_RB1in_S02_Backward  637567133 0.155803 1.29656
W+2_RB1in_S02_Forward  637632669 -0.261054 1.29823
RE-1_R2_CH13_A  637567236 0 0
RE-1_R2_CH13_B  637600004 0 0
RE-1_R2_CH13_C  637632772 0 0
RE+1_R2_CH13_A  637567238 0.401061 6.40939
RE+1_R2_CH13_B  637600006 -0.41426 5.89632
RE+1_R2_CH13_C  637632774 1.32083 4.80437
RE-1_R3_CH13_A  637567240 0 0
RE-1_R3_CH13_B  637600008 0 0
RE-1_R3_CH13_C  637632776 0 0
RE+1_R3_CH13_A  637567242 0 0
RE+1_R3_CH13_B  637600010 0 0
RE+1_R3_CH13_C  637632778 0 0
W-2_RB1in_S03_Backward  637567245 -0.0849165 1.07514
W-2_RB1in_S03_Forward  637632781 -0.208959 1.52247
W-1_RB1in_S03_Backward  637567249 -0.063772 1.39231
W-1_RB1in_S03_Forward  637632785 0.061568 1.09197
W+0_RB1in_S03_Backward  637567253 0.194411 1.02668
W+0_RB1in_S03_Forward  637632789 0.228139 1.13172
W+1_RB1in_S03_Backward  637567257 -0.205802 0.992317
W+1_RB1in_S03_Forward  637632793 -0.175635 1.06754
W+2_RB1in_S03_Backward  637567261 -0.0529159 0.990513
W+2_RB1in_S03_Forward  637632797 0.016879 1.40531
RE-1_R2_CH19_A  637567364 0 0
RE-1_R2_CH19_B  637600132 0 0
RE-1_R2_CH19_C  637632900 0 0
RE+1_R2_CH19_A  637567366 -0.701323 6.24701
RE+1_R2_CH19_B  637600134 -0.429735 5.3822
RE+1_R2_CH19_C  637632902 -0.327374 5.43768
RE-1_R3_CH19_A  637567368 0 0
RE-1_R3_CH19_B  637600136 0 0
RE-1_R3_CH19_C  637632904 0 0
RE+1_R3_CH19_A  637567370 0.0131666 3.63374
RE+1_R3_CH19_B  637600138 0.073803 3.65978
RE+1_R3_CH19_C  637632906 0.209446 3.44811
W-2_RB1in_S04_Backward  637567373 0.128322 0.954437
W-2_RB1in_S04_Forward  637632909 0.1158 1.09261
W-1_RB1in_S04_Backward  637567377 -0.0625706 1.06649
W-1_RB1in_S04_Forward  637632913 0.058807 1.38304
W+0_RB1in_S04_Backward  637567381 0.0162184 0.974143
W+0_RB1in_S04_Forward  637632917 -0.00628923 1.06098
W+1_RB1in_S04_Backward  637567385 0.0210489 1.01036
W+1_RB1in_S04_Forward  637632921 -0.0873443 1.24881
W+2_RB1in_S04_Backward  637567389 -0.256618 0.968462
W+2_RB1in_S04_Forward  637632925 0.00294558 0.999663
RE-1_R2_CH25_A  637567492 0 0
RE-1_R2_CH25_B  637600260 0 0
RE-1_R2_CH25_C  637633028 0 0
RE+1_R2_CH25_A  637567494 -1.31181 5.92372
RE+1_R2_CH25_B  637600262 -0.860076 4.68231
RE+1_R2_CH25_C  637633030 -0.051897 4.83321
RE-1_R3_CH25_A  637567496 0 0
RE-1_R3_CH25_B  637600264 0 0
RE-1_R3_CH25_C  637633032 0 0
RE+1_R3_CH25_A  637567498 0 0
RE+1_R3_CH25_B  637600266 0 0
RE+1_R3_CH25_C  637633034 0 0
W-2_RB1in_S05_Backward  637567501 0.0811048 1.08972
W-2_RB1in_S05_Forward  637633037 0.0969908 0.997465
W-1_RB1in_S05_Backward  637567505 0.135553 0.978296
W-1_RB1in_S05_Forward  637633041 0.119459 1.06614
W+0_RB1in_S05_Backward  637567509 0.10506 0.987512
W+0_RB1in_S05_Forward  637633045 0.0406966 1.04789
W+1_RB1in_S05_Backward  637567513 -0.182583 0.970153
W+1_RB1in_S05_Forward  637633049 -0.215681 1.1488
W+2_RB1in_S05_Backward  637567517 -0.00885759 1.01064
W+2_RB1in_S05_Forward  637633053 -0.161562 1.19354
RE-1_R2_CH31_A  637567620 0 0
RE-1_R2_CH31_B  637600388 0 0
RE-1_R2_CH31_C  637633156 0 0
RE+1_R2_CH31_A  637567622 0.104286 6.46363
RE+1_R2_CH31_B  637600390 -0.363213 5.35979
RE+1_R2_CH31_C  637633158 -0.427872 4.51302
RE-1_R3_CH31_A  637567624 0 0
RE-1_R3_CH31_B  637600392 0 0
RE-1_R3_CH31_C  637633160 0 0
RE+1_R3_CH31_A  637567626 0.168613 3.17075
RE+1_R3_CH31_B  637600394 -0.566595 3.38512
RE+1_R3_CH31_C  637633162 -1.02682 2.84436
W-2_RB1in_S06_Backward  637567629 -0.0341146 1.07767
W-2_RB1in_S06_Forward  637633165 -0.00873781 1.2196
W-1_RB1in_S06_Backward  637567633 -0.0908583 1.08663
W-1_RB1in_S06_Forward  637633169 -0.15365 1.15709
W+0_RB1in_S06_Backward  637567637 0.0131528 1.08291
W+0_RB1in_S06_Forward  637633173 0.0646247 1.58548
W+1_RB1in_S06_Backward  637567641 0.0141877 1.09535
W+1_RB1in_S06_Forward  637633177 0.115553 1.47284
W+2_RB1in_S06_Backward  637567645 0.0262249 1.07059
W+2_RB1in_S06_Forward  637633181 -0.0566576 1.18808
W-2_RB1in_S07_Backward  637567757 -0.310558 1.21324
W-2_RB1in_S07_Forward  637633293 -0.370065 1.38009
W-1_RB1in_S07_Backward  637567761 -0.00831359 1.04146
W-1_RB1in_S07_Forward  637633297 -0.372777 1.11931
W+0_RB1in_S07_Backward  637567765 0.101411 1.08936
W+0_RB1in_S07_Forward  637633301 0.118795 1.11222
W+1_RB1in_S07_Backward  637567769 0 0
W+1_RB1in_S07_Forward  637633305 0 0
W+2_RB1in_S07_Backward  637567773 0.0740311 1.18565
W+2_RB1in_S07_Forward  637633309 0.184416 1.52541
W-2_RB1in_S08_Backward  637567885 -0.300424 1.10152
W-2_RB1in_S08_Forward  637633421 -0.253652 1.37558
W-1_RB1in_S08_Backward  637567889 -0.234527 1.03195
W-1_RB1in_S08_Forward  637633425 -0.268033 1.10009
W+0_RB1in_S08_Backward  637567893 -0.141956 1.10021
W+0_RB1in_S08_Forward  637633429 -0.295707 1.10936
W+1_RB1in_S08_Backward  637567897 0.293336 1.06446
W+1_RB1in_S08_Forward  637633433 0.102252 1.21059
W+2_RB1in_S08_Backward  637567901 0.273433 1.09985
W+2_RB1in_S08_Forward  637633437 0.242245 1.67062
W-2_RB1in_S09_Backward  637568013 -0.00353728 0.992788
W-2_RB1in_S09_Forward  637633549 -0.0288342 1.12052
W-1_RB1in_S09_Backward  637568017 -0.00208983 0.968553
W-1_RB1in_S09_Forward  637633553 0.113267 1.16734
W+0_RB1in_S09_Backward  637568021 -0.362556 1.04354
W+0_RB1in_S09_Forward  637633557 -0.044984 1.37539
W+1_RB1in_S09_Backward  637568025 0.132821 1.08609
W+1_RB1in_S09_Forward  637633561 0.112751 1.27125
W+2_RB1in_S09_Backward  637568029 0.309482 1.05775
W+2_RB1in_S09_Forward  637633565 0.217829 1.43259
W-2_RB1in_S10_Backward  637568141 0.110173 0.942174
W-2_RB1in_S10_Forward  637633677 0.24396 1.57695
W-1_RB1in_S10_Backward  637568145 -0.0354933 1.03329
W-1_RB1in_S10_Forward  637633681 -0.0759739 1.29826
W+0_RB1in_S10_Backward  637568149 -0.0148839 0.975393
W+0_RB1in_S10_Forward  637633685 0.0891464 1.04568
W+1_RB1in_S10_Backward  637568153 0.456716 0.929295
W+1_RB1in_S10_Forward  637633689 0.0580672 0.976962
W+2_RB1in_S10_Backward  637568157 -0.00274978 1.03423
W+2_RB1in_S10_Forward  637633693 0.0468172 1.49879
W-2_RB1in_S11_Backward  637568269 -0.0211323 1.23672
W-2_RB1in_S11_Forward  637633805 -0.0609889 1.17486
W-1_RB1in_S11_Backward  637568273 0.138124 1.04794
W-1_RB1in_S11_Forward  637633809 0.0432882 1.23297
W+0_RB1in_S11_Backward  637568277 0.159062 1.09774
W+0_RB1in_S11_Forward  637633813 0.00968109 1.32282
W+1_RB1in_S11_Backward  637568281 -0.229324 1.04186
W+1_RB1in_S11_Forward  637633817 -0.248875 1.31396
W+2_RB1in_S11_Backward  637568285 0.101357 1.02727
W+2_RB1in_S11_Forward  637633821 0.0766184 1.36332
W-2_RB1in_S12_Backward  637568397 0.293863 0.990397
W-2_RB1in_S12_Forward  637633933 -0.0602966 1.44589
W-1_RB1in_S12_Backward  637568401 0.341829 1.10593
W-1_RB1in_S12_Forward  637633937 0.318767 1.35089
W+0_RB1in_S12_Backward  637568405 0.0754974 1.07675
W+0_RB1in_S12_Forward  637633941 0 0
W+1_RB1in_S12_Backward  637568409 0.0224541 1.05239
W+1_RB1in_S12_Forward  637633945 0.0255038 1.17537
W+2_RB1in_S12_Backward  637568413 5.09513 0
W+2_RB1in_S12_Forward  637633949 -0.284373 1.06722
RE-1_R2_CH02_A  637571076 0 0
RE-1_R2_CH02_B  637603844 0 0
RE-1_R2_CH02_C  637636612 0 0
RE+1_R2_CH02_A  637571078 0 0
RE+1_R2_CH02_B  637603846 0 0
RE+1_R2_CH02_C  637636614 0 0
RE-1_R3_CH02_A  637571080 0 0
RE-1_R3_CH02_B  637603848 0 0
RE-1_R3_CH02_C  637636616 0 0
RE+1_R3_CH02_A  637571082 -0.130404 3.39034
RE+1_R3_CH02_B  637603850 0.256451 3.75666
RE+1_R3_CH02_C  637636618 -0.191181 3.29484
RE-1_R2_CH08_A  637571204 0 0
RE-1_R2_CH08_B  637603972 0 0
RE-1_R2_CH08_C  637636740 0 0
RE+1_R2_CH08_A  637571206 -4.38792 1.26942
RE+1_R2_CH08_B  637603974 -3.89742 1.3174
RE+1_R2_CH08_C  637636742 -3.23771 1.30301
RE-1_R3_CH08_A  637571208 0 0
RE-1_R3_CH08_B  637603976 0 0
RE-1_R3_CH08_C  637636744 0 0
RE+1_R3_CH08_A  637571210 0.325922 2.32434
RE+1_R3_CH08_B  637603978 0.0784287 2.8614
RE+1_R3_CH08_C  637636746 -0.0714973 2.85972
RE-1_R2_CH14_A  637571332 0 0
RE-1_R2_CH14_B  637604100 0 0
RE-1_R2_CH14_C  637636868 0 0
RE+1_R2_CH14_A  637571334 -3.38104 2.44669
RE+1_R2_CH14_B  637604102 -2.5844 1.92909
RE+1_R2_CH14_C  637636870 -3.59847 1.76094
RE-1_R3_CH14_A  637571336 0 0
RE-1_R3_CH14_B  637604104 0 0
RE-1_R3_CH14_C  637636872 0 0
RE+1_R3_CH14_A  637571338 5.54546 2.77892
RE+1_R3_CH14_B  637604106 5.69746 1.62411
RE+1_R3_CH14_C  637636874 0 0
RE-1_R2_CH20_A  637571460 0 0
RE-1_R2_CH20_B  637604228 0 0
RE-1_R2_CH20_C  637636996 0 0
RE+1_R2_CH20_A  637571462 0 0
RE+1_R2_CH20_B  637604230 0 0
RE+1_R2_CH20_C  637636998 0 0
RE-1_R3_CH20_A  637571464 0 0
RE-1_R3_CH20_B  637604232 0 0
RE-1_R3_CH20_C  637637000 0 0
RE+1_R3_CH20_A  637571466 0.0500777 3.74995
RE+1_R3_CH20_B  637604234 0.640856 3.67538
RE+1_R3_CH20_C  637637002 1.08658 3.43048
RE-1_R2_CH26_A  637571588 0 0
RE-1_R2_CH26_B  637604356 0 0
RE-1_R2_CH26_C  637637124 0 0
RE+1_R2_CH26_A  637571590 -4.48575 1.67638
RE+1_R2_CH26_B  637604358 -3.84345 1.39398
RE+1_R2_CH26_C  637637126 -3.05017 1.52199
RE-1_R3_CH26_A  637571592 0 0
RE-1_R3_CH26_B  637604360 0 0
RE-1_R3_CH26_C  637637128 0 0
RE+1_R3_CH26_A  637571594 0.912533 3.51812
RE+1_R3_CH26_B  637604362 0.55425 2.80513
RE+1_R3_CH26_C  637637130 0.266404 2.92271
RE-1_R2_CH32_A  637571716 0 0
RE-1_R2_CH32_B  637604484 0 0
RE-1_R2_CH32_C  637637252 0 0
RE+1_R2_CH32_A  637571718 -4.65063 1.55312
RE+1_R2_CH32_B  637604486 -3.69603 2.77336
RE+1_R2_CH32_C  637637254 -3.41001 1.59338
RE-1_R3_CH32_A  637571720 0 0
