W+2_RB1in_S05_Forward  637633053 -0.215571 1.08262
RE-1_R2_S06_CH32_A  637567620 0 0
RE-1_R2_S06_CH32_B  637600388 0 0
RE-1_R2_S06_CH32_C  637633156 0 0
RE+1_R2_S06_CH32_A  637567622 1.62227 6.0203
RE+1_R2_S06_CH32_B  637600390 0.264129 5.85447
RE+1_R2_S06_CH32_C  637633158 -0.691284 4.54239
RE-1_R3_S06_CH32_A  637567624 0 0
RE-1_R3_S06_CH32_B  637600392 0 0
RE-1_R3_S06_CH32_C  637633160 0 0
RE+1_R3_S06_CH32_A  637567626 0.105461 3.30517
RE+1_R3_S06_CH32_B  637600394 -0.874514 3.63591
RE+1_R3_S06_CH32_C  637633162 -1.00636 3.234
W-2_RB1in_S06_Backward  637567629 0.105416 1.14856
W-2_RB1in_S06_Forward  637633165 0.105248 1.21527
W-1_RB1in_S06_Backward  637567633 -0.0445444 1.21798
W-1_RB1in_S06_Forward  637633169 -0.110641 1.33632
W+0_RB1in_S06_Backward  637567637 -0.0202632 1.1863
W+0_RB1in_S06_Forward  637633173 0.0471383 1.60417
W+1_RB1in_S06_Backward  637567641 -0.0838695 1.17674
W+1_RB1in_S06_Forward  637633177 0.096827 1.53852
W+2_RB1in_S06_Backward  637567645 0.000669943 1.09268
W+2_RB1in_S06_Forward  637633181 -0.118988 1.1689
W-2_RB1in_S07_Backward  637567757 -0.303582 1.20755
W-2_RB1in_S07_Forward  637633293 -0.378786 1.34976
W-1_RB1in_S07_Backward  637567761 -0.0412691 1.20951
W-1_RB1in_S07_Forward  637633297 -0.384036 1.32735
W+0_RB1in_S07_Backward  637567765 0.15462 1.35847
W+0_RB1in_S07_Forward  637633301 0.132964 1.25544
W+1_RB1in_S07_Backward  637567769 0 0
W+1_RB1in_S07_Forward  637633305 0 0
W+2_RB1in_S07_Backward  637567773 0.0719859 1.20143
W+2_RB1in_S07_Forward  637633309 0.148212 1.39983
W-2_RB1in_S08_Backward  637567885 -0.287502 1.10754
W-2_RB1in_S08_Forward  637633421 -0.275683 1.32597
W-1_RB1in_S08_Backward  637567889 -0.255972 1.11739
W-1_RB1in_S08_Forward  637633425 -0.28953 1.18173
W+0_RB1in_S08_Backward  637567893 -0.128472 1.12409
W+0_RB1in_S08_Forward  637633429 -0.330289 1.13514
W+1_RB1in_S08_Backward  637567897 0.346777 1.10194
W+1_RB1in_S08_Forward  637633433 0.102176 1.22601
W+2_RB1in_S08_Backward  637567901 0.261086 1.11755
W+2_RB1in_S08_Forward  637633437 0.202715 1.53371
W-2_RB1in_S09_Backward  637568013 0.0640913 1.05789
W-2_RB1in_S09_Forward  637633549 0.0094836 1.05934
W-1_RB1in_S09_Backward  637568017 0.012678 1.01633
W-1_RB1in_S09_Forward  637633553 0.127111 1.09108
W+0_RB1in_S09_Backward  637568021 -0.352795 1.00033
W+0_RB1in_S09_Forward  637633557 -0.033463 1.33342
W+1_RB1in_S09_Backward  637568025 0.0962422 0.987668
W+1_RB1in_S09_Forward  637633561 0.0717883 1.12875
W+2_RB1in_S09_Backward  637568029 0.293631 1.10362
W+2_RB1in_S09_Forward  637633565 0.197568 1.26879
W-2_RB1in_S10_Backward  637568141 0.119914 0.948212
W-2_RB1in_S10_Forward  637633677 0.196928 1.55661
W-1_RB1in_S10_Backward  637568145 -0.00634057 0.986957
W-1_RB1in_S10_Forward  637633681 -0.0775975 1.16906
W+0_RB1in_S10_Backward  637568149 -0.025918 0.931587
W+0_RB1in_S10_Forward  637633685 0.0923061 0.998053
