W+1_RB1in_S05_Forward  637633049 -0.121766 1.29351
W+2_RB1in_S05_Backward  637567517 0.0990969 1.17687
W+2_RB1in_S05_Forward  637633053 -0.154471 1.7282
RE-1_R2_CH31_A  637567620 -0.0031308 1.05446
RE-1_R2_CH31_B  637600388 0.0373428 0.988795
RE-1_R2_CH31_C  637633156 0.00523312 1.0132
RE+1_R2_CH31_A  637567622 0.0807261 1.03362
RE+1_R2_CH31_B  637600390 0.248971 0.962726
RE+1_R2_CH31_C  637633158 0.311346 0.971325
RE-1_R3_CH31_A  637567624 0.120815 1.5485
RE-1_R3_CH31_B  637600392 -0.0853634 1.64044
RE-1_R3_CH31_C  637633160 -0.0977863 1.34508
RE+1_R3_CH31_A  637567626 0.274542 1.53991
RE+1_R3_CH31_B  637600394 0.252344 1.5444
RE+1_R3_CH31_C  637633162 0.150634 1.29905
W-2_RB1in_S06_Backward  637567629 -0.210944 1.05933
W-2_RB1in_S06_Forward  637633165 -0.0261569 1.28763
W-1_RB1in_S06_Backward  637567633 -0.0683649 1.02784
W-1_RB1in_S06_Forward  637633169 -0.0308307 1.30335
W+0_RB1in_S06_Backward  637567637 -0.061292 0.967234
W+0_RB1in_S06_Forward  637633173 -0.0350767 1.64967
W+1_RB1in_S06_Backward  637567641 0.0767862 0.955399
W+1_RB1in_S06_Forward  637633177 0.0537997 1.68812
W+2_RB1in_S06_Backward  637567645 0.156831 1.04795
W+2_RB1in_S06_Forward  637633181 -0.0243127 1.20597
W-2_RB1in_S07_Backward  637567757 -0.296586 1.41945
W-2_RB1in_S07_Forward  637633293 -0.250811 1.55884
W-1_RB1in_S07_Backward  637567761 0.187283 1.04546
W-1_RB1in_S07_Forward  637633297 -0.212859 1.11146
W+0_RB1in_S07_Backward  637567765 -0.0825648 0.981158
W+0_RB1in_S07_Forward  637633301 -0.0111396 1.02549
W+1_RB1in_S07_Backward  637567769 0.0927582 1.20829
W+1_RB1in_S07_Forward  637633305 0.028958 1.32681
W+2_RB1in_S07_Backward  637567773 0.13781 1.3105
W+2_RB1in_S07_Forward  637633309 0.21649 2.13229
W-2_RB1in_S08_Backward  637567885 -0.224757 1.17808
W-2_RB1in_S08_Forward  637633421 -0.242382 1.76147
W-1_RB1in_S08_Backward  637567889 -0.0392995 1.02574
W-1_RB1in_S08_Forward  637633425 -0.0349588 1.17411
W+0_RB1in_S08_Backward  637567893 0.0413396 1.00821
W+0_RB1in_S08_Forward  637633429 -0.0841698 1.00429
W+1_RB1in_S08_Backward  637567897 0.111691 1.08819
W+1_RB1in_S08_Forward  637633433 -0.0128602 1.2474
W+2_RB1in_S08_Backward  637567901 0.236715 1.18021
W+2_RB1in_S08_Forward  637633437 0.202054 2.13321
W-2_RB1in_S09_Backward  637568013 -0.0845925 1.06282
W-2_RB1in_S09_Forward  637633549 -0.0429903 1.42499
W-1_RB1in_S09_Backward  637568017 0.111299 1.01693
W-1_RB1in_S09_Forward  637633553 0.1588 1.3959
